label,x,y,z
178,6.3473268,0.07,0.0
179,6.3972278,0.07,0.0
180,6.4471288,0.07,0.0
181,6.4970298,0.07,0.0
182,6.5469308,0.07,0.0
183,6.5968318,0.07,0.0
184,6.6467328,0.07,0.0
185,6.6966338,0.07,0.0
186,6.7465348,0.07,0.0
187,6.7964358,0.07,0.0
188,6.8463368,0.07,0.0
189,6.8962379,0.07,0.0
190,6.9461384,0.07,0.0
191,6.9960394,0.07,0.0
192,7.0459404,0.07,0.0
193,7.0958414,0.07,0.0
194,7.1457424,0.07,0.0
195,7.1956434,0.07,0.0
196,7.2455444,0.07,0.0
197,7.2954454,0.07,0.0
198,7.3453465,0.07,0.0
199,7.3952475,0.07,0.0
200,7.4451485,0.07,0.0
201,7.4950495,0.07,0.0
202,7.5449505,0.07,0.0
203,7.5948515,0.07,0.0
204,7.6447525,0.07,0.0
205,7.6946535,0.07,0.0
206,7.7445545,0.07,0.0
207,7.7944555,0.07,0.0
208,7.8443565,0.07,0.0
209,7.8942575,0.07,0.0
210,7.9441586,0.07,0.0
211,7.9940596,0.07,0.0
212,8.0439606,0.07,0.0
213,8.0938616,0.07,0.0
214,8.1437626,0.07,0.0
215,8.1936636,0.07,0.0
216,8.2435646,0.07,0.0
217,8.2934656,0.07,0.0
218,8.3433666,0.07,0.0
219,8.3932676,0.07,0.0
220,8.4431686,0.07,0.0
221,8.4930696,0.07,0.0
222,8.5429707,0.07,0.0
223,8.5928717,0.07,0.0
224,8.6427727,0.07,0.0
225,8.6926737,0.07,0.0
226,8.7425747,0.07,0.0
227,8.7924757,0.07,0.0
228,8.8423767,0.07,0.0
229,8.8922768,0.07,0.0
230,8.9421778,0.07,0.0
231,8.9920788,0.07,0.0
232,9.0419798,0.07,0.0
233,9.0918808,0.07,0.0
234,9.1417818,0.07,0.0
235,9.1916828,0.07,0.0
236,9.2415838,0.07,0.0
237,9.2914848,0.07,0.0
238,9.3413858,0.07,0.0
239,9.3912868,0.07,0.0
240,9.4411879,0.07,0.0
241,9.4910889,0.07,0.0
242,9.5409899,0.07,0.0
243,9.5908909,0.07,0.0
244,9.6407919,0.07,0.0
245,9.6906929,0.07,0.0
246,9.7405939,0.07,0.0
247,9.7904949,0.07,0.0
248,9.8403959,0.07,0.0
249,9.8902969,0.07,0.0
250,9.9401979,0.07,0.0
251,9.990099,0.07,0.0
252,10.04,0.07,0.03
253,10.04,0.07,0.06
254,9.990099,0.07,0.09
255,9.9401979,0.07,0.09
256,9.8902969,0.07,0.09
257,9.8403959,0.07,0.09
258,9.7904949,0.07,0.09
259,9.7405939,0.07,0.09
260,9.6906929,0.07,0.09
261,9.6407919,0.07,0.09
262,9.5908909,0.07,0.09
263,9.5409899,0.07,0.09
264,9.4910889,0.07,0.09
265,9.4411879,0.07,0.09
266,9.3912868,0.07,0.09
267,9.3413858,0.07,0.09
268,9.2914848,0.07,0.09
269,9.2415838,0.07,0.09
270,9.1916828,0.07,0.09
271,9.1417818,0.07,0.09
272,9.0918808,0.07,0.09
273,9.0419798,0.07,0.09
274,8.9920788,0.07,0.09
275,8.9421778,0.07,0.09
276,8.8922768,0.07,0.09
277,8.8423767,0.07,0.09
278,8.7924757,0.07,0.09
279,8.7425747,0.07,0.09
280,8.6926737,0.07,0.09
281,8.6427727,0.07,0.09
282,8.5928717,0.07,0.09
283,8.5429707,0.07,0.09
284,8.4930696,0.07,0.09
285,8.4431686,0.07,0.09
286,8.3932676,0.07,0.09
287,8.3433666,0.07,0.09
288,8.2934656,0.07,0.09
289,8.2435646,0.07,0.09
290,8.1936636,0.07,0.09
291,8.1437626,0.07,0.09
292,8.0938616,0.07,0.09
293,8.0439606,0.07,0.09
294,7.9940596,0.07,0.09
295,7.9441586,0.07,0.09
296,7.8942575,0.07,0.09
297,7.8443565,0.07,0.09
298,7.7944555,0.07,0.09
299,7.7445545,0.07,0.09
300,7.6946535,0.07,0.09
301,7.6447525,0.07,0.09
302,7.5948515,0.07,0.09
303,7.5449505,0.07,0.09
